Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"BT1","Battery_Cell","BatteryHolder_Keystone_3000_1x12mm",90.400000,-84.100000,-90.000000,bottom
"C1","0.1uF","C_0603_1608Metric",90.300000,-87.750000,-90.000000,top
"C2","0.1uF","C_0603_1608Metric",87.100000,-80.400000,90.000000,top
"C3","4.7uF","CP_Elec_5x5.4",88.050000,-73.650000,0.000000,top
"D1","LED","LED_PLCC_2835",94.500000,-78.600000,-90.000000,top
"D2","1N5819WS","D_SOD-323",87.125000,-83.500000,-90.000000,top
"D3","1N5819WS","D_SOD-323",87.125000,-86.800000,-90.000000,top
"R5","300","C_0603_1608Metric",93.375000,-75.600000,180.000000,top
"R6","10K","R_0603_1608Metric",87.125000,-89.900000,-90.000000,top
"R7","10K","R_0603_1608Metric",88.825000,-87.775000,90.000000,top
"U1","LMC555xM","SOIC-8_3.9x4.9mm_P1.27mm",91.825000,-83.565000,180.000000,top
